Negative	Bari olu nan makla
Negative	Sir nivu news helida hage heltiri sir
unknown state	Idu riyel rar
Negative	ಕಥೆ ಅರ್ದ ಅಗಿದೆ.ಅಶ್ವತ್ತಾಮ ತನ್ಣಗಾಯಗೊಂಡ ದೇಹವನ್ನು ಗುಣಪಡಿಸಿದ್ದು ಕಲ್ಲಡ್ಕ ಪ್ರಭಾಕರ್ ಭಟ್.ನಂತರ ಅಶ್ವತ್ತಸಮ ತನ್ನ ಹೆಸರು ಬದಲಾಯಿಸಿ .ನರೇಂದ್ರ ದಾಮೋದರ ಮೊಲದಿ ಎಂಬ ಹೆಸರಿನಿಂದ ಬಾರತದ ಪ್ರದಾನಿಯಾಗಿ    ಅತನ ಅನುಯಾಯಿಗಳೇ ಮೋದಿ ಭಕ್ತರೆಂಬ ಕೌರವರು ಇವಾಗ ಮುಸ್ಲಿಂ ಎಂಬ ಪಾಂಡವರ ವಿರುದ್ದ ಕುತಂತ್ರ ಯುದ್ದ ಮಾಡುತ್ತದ್ದಾರೆ..
Mixed feelings	ಕಥೆ ಸರಿಯಾಗಿ ತಿಳಿದುಕೊಳ್ಳಿ..... please don't worng guide..... ಅಶ್ವತ್ತಾಮ ಶಿವನ ಅವತಾರ.... ಇಂದ್ರನಲ್ಲಿ ಸುಳ್ಳು ಹೇಳಿದಕ್ಕಾಗಿ ಭೂಮಿಯಲ್ಲಿ ದೀರ್ಘ ಕಾಲಿ ಯಾಗಿ ಅವತಾರಿಡಿದರು ಅಷ್ಟೇ...... ಕೃಷ್ಣ ಅವರಿಗೆ ಶಪಿಸಲಿಲ್ಲ
Positive	Ashwathama. Vadhukkidhe.evathu. video. Nodithunanu. Jai. Babaji
Negative	ಹೌದು ಹೌದು ನಿನ್ನೆ ನಮ್ಮನಿಗೂ ಬಂದಿದ........ ಚಾ ಕುಡ್ಕಾ ಹೊದ
Negative	ಕತೆ ಕತೆಯಾಗಿ ಇರುತ್ತೆ ಇದನ್ನು ನಂಬಲು ಅಸಾದ್ಯ
Negative	Sir nivu bare swalpa sulu heleteraa
Positive	Houdu ashvatama 5000 varsha dinda  idre Krista Shaka 2000 Anta yak aktaidare Hindu galu munche inda idane navu idannu pratipadisabeku I
unknown state	ಗುರು ಅಶ್ವತ್ಥಾಮ ಯಾವ ಬಾಷೇ ಮಾತಾಡ್ತಿದ್ದ ಅಂಥ ಹೇಳಿ ನಿಮಗೂ ಗೊತ್ತಿಲ್ಲ ಅಂದ್ರೆ ಆ ಡಾಕ್ಟರ್ ಅನ್ನು ಕೇಳಿ ತಿಳ್ಕೊಂಡು ಹೇಳಿ ನಮ್ಮ ಕನ್ನಡ ವಾದ್ರೆ ತೊಂಬ ಸಂತೋಷ ವಾಗುತ್ತೆ ಅಲ್ವಾ
unknown state	In udupi sir
Negative	Nimge istu sullu heloke Hege manasu barutte
Negative	Yenri sullu heltira fake fake fake fake fake
Positive	ನನಗೆ ಮಹಾಭಾರತ ಕಥೆ ಕೇಳಲು ತುಂಬಾ ಇಷ್ಟ ನಾನು ಮಹಾಭಾರತ ಓದಿದ್ದೆನೆ
unknown state	ಸರ್ ಅಶ್ವತ್ಥಾಮ ಆ ವೈದ್ಯರ ಮನೆಗೆ ಬರುತ್ತಿದ್ದ ಅಂತ ಹೇಳುದ್ರಿ ಅವನಿಗೆ ಹೇಗೆ  ಗೊತ್ತು ಅವರು ವೈದ್ಯರು ಅಂತ ಮತ್ತೆ ಮುಖ್ಯವಾಗಿ ಮಹಾಭಾರತ ಕಾಲದಲ್ಲಿ ಹಿಂದಿ
Negative	ನಿಜಕೂ ಈದು ಆಚರಿನೇ🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤥🤥🤥🤓🤡🤡🤡🤠🤠🤠
Negative	Loo baccha koura holle avaru
unknown state	ನನಗು ತೊರಸಿ ಅಶ್ವತ್ತಾಮರಾ
Negative	Nan lwda dalli edane band nodkondu ogo gandu
Positive	Anna sumne video madedhya nodu
unknown state	ನಾಲ್ಕು ಯುಗಗಳು ಮುಗಿದ ಮೇಲೆ ಪುನ
Positive	ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ ನೀವು ಪುರಾಣದಲ್ಲಿ ಬರುವ  ಯಲ್ಲರಿಗೂ ಬಹುವಚನ ದಿಂದ ಮಾತಾಡ್ತಿರ ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ
Negative	Nam mane gu bandida
unknown state	Raktha rathri yakshagana nodi maryare
Positive	Enu investigation nedithidya  ashwattama idara OMG nomboke agtilla devre ashwattama nija  vaglu idre it is unbelievable God please a doctor ega idre investigation Madi and a yavudho hasiru guhe andharela Ali hogi nodi inu pooje madthidhara and mate avru sikidra yarigadharu please information Kodi and good job nanna devaru Channel
Negative	Guru e badyav heltirod bari sulu
Mixed feelings	Drona pandavara para iddre ivneke kouravara para iddana.????
Positive	ಇದು ನಿಜಾನಾ ಗುರುವೇ
unknown state	Yes edre adare yli?
Mixed feelings	Nimge henge gotthu neevu en alle idra
Positive	Super sir
Positive	Nav evna nodabahuda
Positive	ನಾರಾಯಣ ಸಂತ ಅವರ ಮಹಾಭಾರತದ ಪುಸ್ತಕದ ಮಾಹಿತಿ ಕಳುಹಿಸಿ
Positive	Nav avnaa meet agboda sir?
Positive	Avanu allla bro avaru annabeku
Negative	@ಜೈ ಭಜರಂಗಿ##ವಿಶ್ವ avaru..dronara maga..
Mixed feelings	Avanige gaya vasi agbeku andre..avnu krishna na bhakti madi..vasi madbeku eela Kaliyuga nasa agbeku
