unknown_state	Ichayan fans pinne mmade ettan fansm ivde oru like idadey Ith nanjankottayile raajavu
not-malayalam	Tovi 🥰 Best Wishes From #Kunjikka Fans
unknown_state	Urutty koll .nallavanaaya unniyaya saiju kurup engane chaagum ennariyan katta waiting
not-malayalam	Pls support me pls       My channel subscribe pls Pls
Positive	Kalki super hit akum enn Bonny parayan paranju
unknown_state	Ettane kaanan vendi vannavar undo  Podunge inge oru like
unknown_state	I am waiting for.................... tovino kalki trailer tovino fans like here
Positive	Become an arjun asokaN fan. .. padam kalakki
Negative	Koora padam
unknown_state	Nairsab last ikka and piller kettipidikkunna scene orma vannu enik...
not-malayalam	mamuka    super    unda   will  super
unknown_state	undayum illa oru andiyum illa.nammuk nammale ullu...uffff dialouge 🤩🤩
Negative	Poli padam njn ella mammooty movies kanarundu itrekku disapointed akkiya oru movie aduthundayittilla
Negative	Padathinte peru sheriyalla yenth unda oru veraity vende perinu.
unknown_state	Undayude trailer june 20 shesham kanunnavrundo
Positive	Nalla oru film anuuu ellavarum poyi kanu....
Negative	Iyyalkke rest cheyyanulla time aayilla.. kanda oola padagalilellam abinayiche vila poi paavam..
unknown_state	Stars nu pakaram Nalla cinema'ye support cheyyunavar adi like..
unknown_state	Super movie.. undayum illa oru andiyum illa
unknown_state	Sire unda vannille...? SI Mani : Undem illa oru andiyum illa. In theater 🤣🤣🤣
unknown_state	Cinema kand kazhinjitt trailer kanan vannavarkk ivde like adichittu pokam
Positive	Padam kand trailer kanuvan vannvar undo..poli film
unknown_state	pakka realistic filim aanenn thonunnavar like adikkooooo
Positive	Ikka polichu movie Si Mani sir
unknown_state	padam kandittu trailer Kanaan vannavar undo
Mixed_feelings	degrading illel manyamaayi odiyekkavinna movie anennu thonnunnu!!
not-malayalam	Galidh rahman.  after anuraga karikkin vellam.
unknown_state	Mamooka realistic padam cheyan thirumanicha sthithikk lalettan koodi onnu realistic padangal cheyyanamennu agrahikunnavar undel like adiku
unknown_state	Anu sithara:Ikkayude Uncle kandu njan karanju poi. Fans:🤩Poli! Anu sithara:Ikkayude MaduraRaja kandu njan kori tharichu poi. Fans:Ore pwoli!! Anu sithara:Ikkayude Unda k.. Fans:Nirthu.Mindathiriyade...
unknown_state	mammokka madiyokke maatti kasaraan eranginnu thonnunnund. kore naalaayi ingerde maryadhakkolla oru padam kandittu.
Positive	peru ketapol e unda pottum ennaanu karuthiyath. but unda load aayappol alle manasilaayath.... e unda pottilla
not-malayalam	Sir release date kiya 14 june
not-malayalam	poster response in social media
Positive	1:11 a simple loook enna poweraaa!!!!
not-malayalam	Waiting to see mammukaas undaa 🤣
Mixed_feelings	renddunda oru venda.
unknown_state	Mammukka yude unda kaaanan wait cheyunnavar like adikku
unknown_state	Kerala police friends undel ivide kodu oru like......
unknown_state	Good will uplaod aakitum. Why view koravu?
Positive	Movide peru kandu dislike adikaan vannatha
Positive	Trailer superrrrr ikka pwolikkum padam oru action thriller blockbuster ayirikkum
unknown_state	Polikkum mammukkante pattalam movie orth poyath njaan maatramaano..??
not-malayalam	all the best unda movie and mammookka from all kerala kunjako boban fans
Positive	Ithu Vera levelakum urappa..... Ela ikka fansinum all best....
unknown_state	Ethh avvo enn avvo padam eraguma kanna
unknown_state	policinte kayilulla pottasu thokku kondu bheekaravadhikale kollan pattila athinu Nammude Pattaalam Thanne venam
Negative	Pattuna paniku poyapore ika... oru nalla story anu nghalu nashipikanathu
unknown_state	Trailer ne like adichu kalipp theeratha ikka fans keri intrest kodukku....
Mixed_feelings	Trailer oru spark aakunnilla.... But still waiting .....
Positive	Ithu oru onnu onnara unda aayirikum
Positive	Kore naalk shesham ikkante padam kananam enn thonnath ee trailer kandapola...ith polikum...
Positive	All the best ikka.... Oru ettan fan
Positive	Oru lalettan fan aaya njan polum like adichu poyi.... sprb
Positive	Orupadu ishtayi..... Nalla oru cinema pratheekshikunnu.... Ellrm kidu ane...
unknown_state	Arjun ashokine kannddappol sherikkumulla policanennu thonniyavar adi like
Negative	Thalli thalli kure ayallo oru padamenkilum vijayippichu kanikku kidannu thalli marikkathe
Negative	Failure anu nalla mammokka movie kandu varashangal ayi....
Positive	njan oru katta ettan fan pakshe ikkayude ee unda pollikkum
Negative	Mammokayude unda varunnu an kaliyakiyavar kedo.....unda verum undayala thokkil vediunda yamanasilaya  mammookaye kaliyakunnavare
Positive	Trailer ishtapettu like ittitundu .  . . .  .june 14 kanam    . .
Positive	Engane ulla filims venamm..kooduthal mass onnum venda... Simple but powerfull..
Positive	Inganathe oru padathin vendi aayirunnu kaathiripp...avanteyokke.. friendshipum..romanceum...chaliyum..masalayum.. kand maduth
unknown_state	Ith kollaaaam....kanda ooodayp trailer ne kalum ok far better...hiy avanee daiwamee...thall kuranj
Positive	super trailer...ithinu enthinaanu makkale dislike...nallathine angeekarikku...
Positive	This is interesting.....ikka polikku ikka.....all the best from Lalettan Fans
Positive	Mohanlal fansinte full spprt ikka pwlichadukk .
Positive	Unda ennu peru ketapole kaliyakiyanmarodu onne parayanullu...ee padam pwolikum
not-malayalam	Im from us army i like mammukka action
Positive	Kidu trailer oru rakshem illa katta waiting
Positive	Rahumanaaa ne polikkadaaa... My dear class mate🥰
Negative	Aayea.... ithu oru unda aavolo.... boar ....
Positive	Jeevithavumaayi bandapett kidakkunna movie aayathu kond trailer kaanumbol vallatha oru santhosham battalion police kaarude real life aanu parayunnath
Negative	Nannayi onnu poliyunna lakshnm unde...Thrill maintain cheyan ayillenkil
Positive	Adipoli... Kidu kidu kidu... First day first show... #mammookka
Positive	Njan oru lalettan fan .Pakshe ikkayku oru blockbuster padam ashamsikkunnu
Positive	Ith kidukkan aakum...  Eagerly waiting... lub you ikkaa from eattan fan...
unknown_state	Eee cheenja slr thokk vech aana ivar pokune
Positive	Supper Mamooka Mamooka Pakaram Mamooka Mathram
Positive	Ithe ikka polikkum ne thonane. Laletten fansinte vaka ore all the best
not-malayalam	SLR pubg boys like  here
Positive	Njan oru katta ettan fan Annu enkilum....ithu polikum
not-malayalam	We have SLR gun  Slr -marksman rifle        Bullet-7.62 8x supported  Pubg daaa
Positive	Kidilam theme  Padam theatril kandrikum #lalettan fan
Positive	sathyam parayalow kaNubol ente police traing kalam ormavarunu
Positive	Unda enna peru kettapo
Positive	Mammookyde oru padavum fdfs kndttla.. ith FDFS locked
